gene,essential
SYNPCC7942_RS00005,False
SYNPCC7942_RS00015,False
SYNPCC7942_RS00020,True
SYNPCC7942_RS00045,True
SYNPCC7942_RS00090,False
SYNPCC7942_RS00095,True
SYNPCC7942_RS00100,True
SYNPCC7942_RS00110,True
SYNPCC7942_RS00120,False
SYNPCC7942_RS00140,True
SYNPCC7942_RS00145,True
SYNPCC7942_RS00150,True
SYNPCC7942_RS00155,True
SYNPCC7942_RS00160,True
Synpcc7942_0034,False
SYNPCC7942_RS00195,False
SYNPCC7942_RS00200,True
SYNPCC7942_RS00290,False
SYNPCC7942_RS00305,False
SYNPCC7942_RS00310,False
SYNPCC7942_RS00345,False
SYNPCC7942_RS00360,True
SYNPCC7942_RS00405,True
SYNPCC7942_RS00425,False
SYNPCC7942_RS00460,True
SYNPCC7942_RS00470,True
SYNPCC7942_RS00475,True
SYNPCC7942_RS00495,True
SYNPCC7942_RS00500,True
SYNPCC7942_RS00515,True
SYNPCC7942_RS00535,True
SYNPCC7942_RS00540,False
SYNPCC7942_RS00575,False
SYNPCC7942_RS00585,False
SYNPCC7942_RS00590,True
SYNPCC7942_RS00635,True
SYNPCC7942_RS00640,True
SYNPCC7942_RS00685,False
SYNPCC7942_RS00695,True
SYNPCC7942_RS00700,False
SYNPCC7942_RS00705,True
SYNPCC7942_RS00725,True
SYNPCC7942_RS00770,True
SYNPCC7942_RS00790,False
SYNPCC7942_RS00800,True
SYNPCC7942_RS00840,False
SYNPCC7942_RS00860,False
SYNPCC7942_RS00870,False
SYNPCC7942_RS00880,False
SYNPCC7942_RS00940,False
SYNPCC7942_RS00960,True
SYNPCC7942_RS00965,True
SYNPCC7942_RS00970,True
SYNPCC7942_RS00985,False
SYNPCC7942_RS01005,False
SYNPCC7942_RS01030,True
SYNPCC7942_RS01040,False
SYNPCC7942_RS01045,False
SYNPCC7942_RS01070,True
SYNPCC7942_RS01075,True
SYNPCC7942_RS01125,False
SYNPCC7942_RS01140,False
SYNPCC7942_RS01145,True
SYNPCC7942_RS01180,True
SYNPCC7942_RS01220,False
SYNPCC7942_RS01245,False
SYNPCC7942_RS01250,False
SYNPCC7942_RS01255,False
SYNPCC7942_RS01260,False
SYNPCC7942_RS01265,False
SYNPCC7942_RS01270,False
SYNPCC7942_RS01305,False
SYNPCC7942_RS01335,True
SYNPCC7942_RS01345,True
SYNPCC7942_RS01380,True
SYNPCC7942_RS01385,True
SYNPCC7942_RS01390,True
SYNPCC7942_RS01405,False
SYNPCC7942_RS01415,False
SYNPCC7942_RS01420,False
SYNPCC7942_RS01425,False
SYNPCC7942_RS01430,True
SYNPCC7942_RS01435,True
SYNPCC7942_RS01445,True
SYNPCC7942_RS01450,True
SYNPCC7942_RS01465,True
SYNPCC7942_RS01475,True
SYNPCC7942_RS01490,True
SYNPCC7942_RS01500,False
SYNPCC7942_RS01505,False
SYNPCC7942_RS01565,False
SYNPCC7942_RS01570,False
SYNPCC7942_RS01575,False
SYNPCC7942_RS01580,True
SYNPCC7942_RS01600,False
SYNPCC7942_RS01605,True
SYNPCC7942_RS01630,True
SYNPCC7942_RS01640,True
SYNPCC7942_RS01645,True
SYNPCC7942_RS01655,False
SYNPCC7942_RS01660,True
SYNPCC7942_RS01665,True
SYNPCC7942_RS01670,True
SYNPCC7942_RS01680,True
SYNPCC7942_RS01685,True
SYNPCC7942_RS01690,True
SYNPCC7942_RS01695,True
SYNPCC7942_RS01700,True
SYNPCC7942_RS01705,True
SYNPCC7942_RS01710,True
SYNPCC7942_RS01715,True
SYNPCC7942_RS01750,False
SYNPCC7942_RS01755,False
SYNPCC7942_RS01760,True
SYNPCC7942_RS01800,False
SYNPCC7942_RS01880,False
SYNPCC7942_RS01885,False
SYNPCC7942_RS01890,False
SYNPCC7942_RS01965,True
SYNPCC7942_RS02000,False
SYNPCC7942_RS02010,False
SYNPCC7942_RS02020,True
SYNPCC7942_RS02025,False
SYNPCC7942_RS02040,True
SYNPCC7942_RS02045,False
SYNPCC7942_RS02065,True
SYNPCC7942_RS02075,False
SYNPCC7942_RS02080,True
SYNPCC7942_RS02095,True
Synpcc7942_0413,False
SYNPCC7942_RS02140,True
SYNPCC7942_RS02165,False
SYNPCC7942_RS02185,False
SYNPCC7942_RS02195,True
SYNPCC7942_RS02205,False
SYNPCC7942_RS02245,True
SYNPCC7942_RS02250,True
SYNPCC7942_RS02255,False
SYNPCC7942_RS02260,False
SYNPCC7942_RS02275,False
SYNPCC7942_RS02295,True
SYNPCC7942_RS02300,True
SYNPCC7942_RS02320,True
SYNPCC7942_RS02325,False
SYNPCC7942_RS13675,False
SYNPCC7942_RS02335,False
SYNPCC7942_RS02340,False
SYNPCC7942_RS02375,False
SYNPCC7942_RS02390,True
SYNPCC7942_RS02420,True
SYNPCC7942_RS02455,True
SYNPCC7942_RS02470,True
SYNPCC7942_RS02475,True
SYNPCC7942_RS02485,True
SYNPCC7942_RS02490,False
Synpcc7942_0491,False
SYNPCC7942_RS02505,True
SYNPCC7942_RS02560,True
SYNPCC7942_RS02565,True
SYNPCC7942_RS02570,True
SYNPCC7942_RS02595,True
SYNPCC7942_RS02670,True
SYNPCC7942_RS02690,False
SYNPCC7942_RS02695,False
SYNPCC7942_RS02715,True
SYNPCC7942_RS02720,True
SYNPCC7942_RS02730,True
SYNPCC7942_RS02735,True
SYNPCC7942_RS02760,True
SYNPCC7942_RS02765,False
SYNPCC7942_RS02780,False
SYNPCC7942_RS02810,True
SYNPCC7942_RS02850,True
SYNPCC7942_RS02885,False
SYNPCC7942_RS02900,True
SYNPCC7942_RS02935,True
SYNPCC7942_RS02940,False
SYNPCC7942_RS02945,False
SYNPCC7942_RS02950,True
SYNPCC7942_RS02965,True
SYNPCC7942_RS02970,True
SYNPCC7942_RS03010,True
SYNPCC7942_RS03015,False
SYNPCC7942_RS03035,False
SYNPCC7942_RS03055,False
SYNPCC7942_RS03060,True
SYNPCC7942_RS03080,False
SYNPCC7942_RS03095,False
SYNPCC7942_RS03100,True
SYNPCC7942_RS03120,False
SYNPCC7942_RS03125,False
SYNPCC7942_RS03140,True
SYNPCC7942_RS03170,True
SYNPCC7942_RS03195,False
SYNPCC7942_RS03210,True
SYNPCC7942_RS03225,False
SYNPCC7942_RS03275,False
SYNPCC7942_RS03280,True
SYNPCC7942_RS03290,False
SYNPCC7942_RS03310,True
SYNPCC7942_RS03350,True
SYNPCC7942_RS03355,False
SYNPCC7942_RS03360,True
SYNPCC7942_RS03380,False
Synpcc7942_0668,False
SYNPCC7942_RS03430,True
SYNPCC7942_RS03450,True
SYNPCC7942_RS03485,False
SYNPCC7942_RS03490,True
SYNPCC7942_RS03505,True
SYNPCC7942_RS03570,False
SYNPCC7942_RS03575,True
SYNPCC7942_RS03585,True
SYNPCC7942_RS03625,False
SYNPCC7942_RS03645,True
SYNPCC7942_RS03655,True
SYNPCC7942_RS03670,True
SYNPCC7942_RS03695,False
SYNPCC7942_RS04015,False
SYNPCC7942_RS04020,True
SYNPCC7942_RS04025,True
SYNPCC7942_RS04030,True
SYNPCC7942_RS04045,False
SYNPCC7942_RS04050,False
SYNPCC7942_RS04060,True
SYNPCC7942_RS04145,True
SYNPCC7942_RS04160,True
SYNPCC7942_RS04180,False
SYNPCC7942_RS04195,False
SYNPCC7942_RS04205,True
SYNPCC7942_RS04215,False
SYNPCC7942_RS04230,True
SYNPCC7942_RS04235,True
SYNPCC7942_RS04245,False
SYNPCC7942_RS04250,False
SYNPCC7942_RS04275,True
